"","site","plot.treat","plot.orient","species","grid","treat","bloom.start","bloom.end","flowers","flower.dev","dev.seed","seed.weight","X","X.1","total.seeds","start.estimate","end.estimate","soil.moist.quad","midpoint","julian.midpoint","relative.position"
"97","Pfeiler","manip","north","Mertensia","N","open","6/20/19","7/9/19",69,33,99,0.058,NA,NA,132,2019-06-19,2019-07-07,"6",2019-06-25,175,-8
"98","Pfeiler","manip","north","Mertensia","H","open","6/20/19","7/9/19",44,12,30,0.029,NA,NA,48,2019-06-19,2019-07-07,"6",2019-06-25,175,-8
"99","Pfeiler","manip","north","Mertensia","N","open","6/20/19","7/9/19",23,7,26,0.022,NA,NA,28,2019-06-19,2019-07-07,"6",2019-06-25,175,-8
"100","Pfeiler","manip","north","Mertensia","F","open","6/20/19","7/15/19",54,12,46,0.05,NA,NA,48,2019-06-19,2019-07-13,"6",2019-06-27,177,-6
"101","Pfeiler","manip","north","Mertensia","K","open","6/27/19","7/9/19",19,11,32,0.023,NA,NA,44,2019-06-25,2019-07-07,"6",2019-06-29,179,-4
"102","Pfeiler","manip","north","Mertensia","A","open","6/27/19","",NA,NA,NA,NA,NA,NA,NA,2019-06-25,NA,"12",NA,NA,NA
"103","Pfeiler","manip","north","Mertensia","C","open","6/27/19","7/15/19",35,16,46,0.03,NA,NA,64,2019-06-25,2019-07-13,"12",2019-07-01,181,-2
"104","Pfeiler","manip","north","Mertensia","J","open","6/27/19","7/9/19",41,17,45,0.03,NA,NA,68,2019-06-25,2019-07-07,"18",2019-06-29,179,-4
"105","Pfeiler","manip","north","Mertensia","M","open-hand","6/20/19","7/3/19",43,11,25,0.019,NA,NA,44,2019-06-19,2019-07-01,"6",2019-06-23,173,-10
"106","Pfeiler","manip","north","Mertensia","B","open-hand","6/20/19","7/11/19",75,25,60,0.055,NA,NA,100,2019-06-19,2019-07-10,"6",2019-06-26,176,-7
"107","Pfeiler","manip","north","Mertensia","O","open-hand","6/20/19","7/15/19",52,12,32,0.028,NA,NA,48,2019-06-19,2019-07-13,"6",2019-06-27,177,-6
"108","Pfeiler","manip","north","Mertensia","B","open-hand","6/20/19","7/15/19",34,12,25,0.01,NA,NA,48,2019-06-19,2019-07-13,"6",2019-06-27,177,-6
"109","Pfeiler","manip","north","Mertensia","H","open-hand","6/20/19","7/11/19",69,20,41,0.025,NA,NA,80,2019-06-19,2019-07-10,"12",2019-06-26,176,-7
"110","Pfeiler","manip","north","Mertensia","O","open-hand","6/20/19","7/11/19",56,6,15,0.015,NA,NA,24,2019-06-19,2019-07-10,"15",2019-06-26,176,-7
"111","Pfeiler","manip","north","Mertensia","M","open-hand","6/20/19","7/11/19",39,10,35,0.029,NA,NA,40,2019-06-19,2019-07-10,"15",2019-06-26,176,-7
"112","Pfeiler","manip","north","Mertensia","K","open-hand","6/20/19","7/9/19",16,3,11,0.006,NA,NA,12,2019-06-19,2019-07-07,"18",2019-06-25,175,-8
"113","Pfeiler","control","south","Mertensia","H","open","7/1/19","7/18/19",54,13,23,0.025,NA,NA,52,2019-07-01,2019-07-16,"1",2019-07-06,186,3
"114","Pfeiler","control","south","Mertensia","M","open","7/1/19","7/18/19",52,20,56,0.07,NA,NA,80,2019-07-01,2019-07-16,"12",2019-07-06,186,3
"115","Pfeiler","control","south","Mertensia","E","open","7/1/19","7/15/19",31,12,33,0.034,NA,NA,48,2019-07-01,2019-07-13,"18",2019-07-05,185,2
"116","Pfeiler","control","south","Mertensia","C","open","7/1/19","7/18/19",26,3,9,0.005,NA,NA,12,2019-07-01,2019-07-16,"12",2019-07-06,186,3
"117","Pfeiler","control","south","Mertensia","H","open","7/1/19","7/15/19",33,19,65,0.042,NA,NA,76,2019-07-01,2019-07-13,"18",2019-07-05,185,2
"118","Pfeiler","control","south","Mertensia","E","open","7/1/19","7/18/19",40,9,34,0.02,NA,NA,36,2019-07-01,2019-07-16,"24",2019-07-06,186,3
"119","Pfeiler","control","south","Mertensia","I","open","7/1/19","7/18/19",12,6,19,0.012,NA,NA,24,2019-07-01,2019-07-16,"30",2019-07-06,186,3
"120","Pfeiler","control","south","Mertensia","P","open","7/1/19","7/11/19",27,6,17,0.011,NA,NA,24,2019-07-01,2019-07-10,"30",2019-07-04,184,1
"121","Pfeiler","control","south","Mertensia","N","open-hand","6/27/19","7/11/19",21,4,12,0.01,NA,NA,16,2019-06-25,2019-07-10,"1",2019-06-30,180,-3
"122","Pfeiler","control","south","Mertensia","B","open-hand","6/27/19","7/15/19",35,15,38,0.04,NA,NA,60,2019-06-25,2019-07-13,"1",2019-07-01,181,-2
"123","Pfeiler","control","south","Mertensia","K","open-hand","6/27/19","7/18/19",74,33,93,0.077,NA,NA,132,2019-06-25,2019-07-16,"12",2019-07-02,182,-1
"124","Pfeiler","control","south","Mertensia","K","open-hand","6/27/19","7/11/19",30,3,8,0.006,NA,NA,12,2019-06-25,2019-07-10,"1",2019-06-30,180,-3
"125","Pfeiler","control","south","Mertensia","","open-hand","7/1/19","7/18/19",12,3,12,0.012,NA,NA,12,2019-07-01,2019-07-16,"15",2019-07-06,186,3
"126","Pfeiler","control","south","Mertensia","","open-hand","7/1/19","7/11/19",10,5,16,0.01,NA,NA,20,2019-07-01,2019-07-10,"18",2019-07-04,184,1
"127","Pfeiler","control","south","Mertensia","","open-hand","7/1/19","7/18/19",24,9,25,0.017,NA,NA,36,2019-07-01,2019-07-16,"24",2019-07-06,186,3
"128","Pfeiler","control","south","Mertensia","","open-hand","7/1/19","7/15/19",29,11,35,0.027,NA,NA,44,2019-07-01,2019-07-13,"30",2019-07-05,185,2
"129","AveryPicnic","manip","north","Mertensia","B","open","6/19/19","7/10/19",20,4,14,0.014,NA,NA,16,2019-06-19,2019-07-10,"6",2019-06-26,176,-5
"130","AveryPicnic","manip","north","Mertensia","H","open","6/19/19","7/2/19",NA,NA,NA,NA,NA,NA,NA,2019-06-19,2019-07-01,"12",2019-06-23,173,-8
"131","AveryPicnic","manip","north","Mertensia","L","open","6/19/19","",76,25,65,0.047,NA,NA,100,2019-06-19,NA,"15",NA,NA,NA
"132","AveryPicnic","manip","north","Mertensia","B","open","6/19/19","7/2/19",19,11,26,0.021,NA,NA,44,2019-06-19,2019-07-01,"24",2019-06-23,173,-8
"133","AveryPicnic","manip","north","Mertensia","D","open","6/19/19","7/5/19",NA,NA,NA,NA,NA,NA,NA,2019-06-19,2019-07-04,"24",2019-06-24,174,-7
"134","AveryPicnic","manip","north","Mertensia","O","open","6/19/19","7/16/19",54,14,29,0.013,NA,NA,56,2019-06-19,2019-07-16,"30",2019-06-28,178,-3
"135","AveryPicnic","manip","north","Mertensia","K","open","6/19/19","7/2/19",46,17,42,0.039,NA,NA,68,2019-06-19,2019-07-01,"15",2019-06-23,173,-8
"136","AveryPicnic","manip","north","Mertensia","M","open","6/19/19","7/5/19",NA,NA,NA,NA,NA,NA,NA,2019-06-19,2019-07-04,"1",2019-06-24,174,-7
"137","AveryPicnic","manip","north","Mertensia","E","open-hand","6/19/19","7/10/19",37,7,23,0.011,NA,NA,28,2019-06-19,2019-07-10,"1",2019-06-26,176,-5
"138","AveryPicnic","manip","north","Mertensia","D","open-hand","6/19/19","7/5/19",39,20,66,0.033,NA,NA,80,2019-06-19,2019-07-04,"6",2019-06-24,174,-7
"139","AveryPicnic","manip","north","Mertensia","D","open-hand","6/21/19","7/2/19",13,0,0,NA,NA,NA,0,2019-06-19,2019-07-01,"6",2019-06-23,173,-8
"140","AveryPicnic","manip","north","Mertensia","J","open-hand","6/19/19","7/5/19",20,34,33,0.027,NA,NA,136,2019-06-19,2019-07-04,"6",2019-06-24,174,-7
"141","AveryPicnic","manip","north","Mertensia","E","open-hand","6/19/19","7/2/19",36,10,21,0.01,NA,NA,40,2019-06-19,2019-07-01,"12",2019-06-23,173,-8
"142","AveryPicnic","manip","north","Mertensia","I","open-hand","6/19/19","7/5/19",20,6,15,0.013,NA,NA,24,2019-06-19,2019-07-04,"15",2019-06-24,174,-7
"143","AveryPicnic","manip","north","Mertensia","N","open-hand","6/19/19","7/10/19",29,9,36,0.014,NA,NA,36,2019-06-19,2019-07-10,"24",2019-06-26,176,-5
"144","AveryPicnic","manip","north","Mertensia","C","open-hand","6/19/19","7/2/19",23,10,33,0.029,NA,NA,40,2019-06-19,2019-07-01,"24",2019-06-23,173,-8
"145","AveryPicnic","control","south","Mertensia","F","open","6/19/19","7/5/19",41,12,30,0.033,NA,NA,48,2019-06-19,2019-07-04,"30",2019-06-24,174,-7
"146","AveryPicnic","control","south","Mertensia","A","open","6/19/19","7/5/19",25,20,50,0.044,NA,NA,80,2019-06-19,2019-07-04,"30",2019-06-24,174,-7
"147","AveryPicnic","control","south","Mertensia","K","open","6/19/19","7/5/19",28,12,44,0.029,NA,NA,48,2019-06-19,2019-07-04,"30",2019-06-24,174,-7
