site,plot.treat,plot.orient,species,quad,grid,treat,bloom.start,bloom.end,#flowers,ovule.exp1,date.oe1,date.harvest,total.fruits,#fruit.collected,height,dev.seed1,undev.seed1,weight1,dev.seed,undev.seed,notes,weight.rest,
StupidFalls,manip,south,Delphinium nutt,10,L,open,6/18/19,,,,,,,,,,,,,,,,
StupidFalls,manip,south,Delphinium nutt,8,A,open,6/28/19,,,,,,,,,,,,,,,,
StupidFalls,manip,south,Delphinium nutt,8,G,open,6/28/19,,,,,,,,,,,,,,,,
StupidFalls,manip,south,Delphinium nutt,16,F,open,6/28/19,,,,,,,,,,,,,,,,
StupidFalls,manip,south,Delphinium nutt,24,O,open,6/28/19,,,,,,,,,,,,,,,,
StupidFalls,control,north,Delphinium nutt,16,I,open,7/5/19,,,,,,,,,,,,,,,,
StupidFalls,control,north,Delphinium nutt,15,F,open,7/5/19,,,,,,,,,,,,,,,,
StupidFalls,control,north,Delphinium nutt,17,H,open,6/28/19,,,,,,,,,,,,,,,,
StupidFalls,control,north,Delphinium nutt,18,L,open,6/28/19,,,,,,,,,,,,,,,,
StupidFalls,control,north,Delphinium nutt,17,I,open,7/5/19,,,,,,,,,,,,,,,,
StupidFalls,control,north,Delphinium nutt,6,L,open,6/28/19,,,,,,,,,,,,,,,,
StupidFalls,control,north,Delphinium nutt,2,P,open,6/28/19,,,,,,,,,,,,,,,,
Meridian,manip,south,Delphinium nutt,30,B,open,6/20/19,7/15/19,6,1,,,,,21.4,,,,14,12,,0.013,
Meridian,manip,south,Delphinium nutt,11,B,open,6/20/19,7/15/19,6,4,,,,,27.5,,,,73,26,,0.055,
Meridian,manip,south,Delphinium nutt,25,J,open,6/27/19,7/15/19,6,0,,,,,26.5,0,0,0,14,13,,0.003,
Meridian,manip,south,Delphinium nutt,23,B,open,6/27/19,7/15/19,4,2,,,,,21.2,26,27,0.028,11,33,,0.011,
Meridian,manip,south,Delphinium nutt,20,E,open,7/1/19,7/15/19,2,0,,,,,12,,,,,,,,
Meridian,manip,south,Delphinium nutt,16,B,open,6/27/19,7/15/19,3,1,,,,,22.5,42,7,0.036,,,,,
Meridian,manip,south,Delphinium nutt,10,B,open,7/1/19,7/15/19,7,1,,,,,26.3,,,,6,14,,0,
Meridian,manip,south,Delphinium nutt,1,N,open,6/27/19,7/15/19,6,2,,,,,23.5,0,44,0,44,7,,0.037,
Meridian,manip,south,Delphinium nutt,27,I,open-hand,6/27/19,7/15/19,7,2,,,,,22.5,20,41,0.015,48,2,,0.051,
Meridian,manip,south,Delphinium nutt,25,O,open-hand,6/27/19,7/15/19,6,1,,,,,30.2,23,20,0.025,8,28,,0.007,
Meridian,manip,south,Delphinium nutt,23,O,open-hand,6/27/19,7/15/19,2,1,,,,,22.5,16,13,0.01,,,,,
Meridian,manip,south,Delphinium nutt,20,M,open-hand,7/1/19,7/15/19,2,2,,,,,15.5,,,,1,8,,0,
Meridian,manip,south,Delphinium nutt,16,E,open-hand,6/27/19,7/15/19,5,3,,,,,21,48,16,0.034,51,16,,0.018,
Meridian,manip,south,Delphinium nutt,10,D,open-hand,7/1/19,7/15/19,3,0,,,,,14,,,,,,,,
Meridian,manip,south,Delphinium nutt,4,L,open-hand,7/1/19,7/15/19,3,1,,,,,26,52,4,0.049,,,,,
