site,plot.treat,plot.orient,species,quad,grid,treat,bloom.start,bloom.end,flowers,ovule.exp1,date.oe1,date.harvest,total.fruits,fruit.collected,height,flower.dev,dev.seed,seed.weight,notes,,
StupidFalls,manip,south,Mertensia,10,N,open-hand,6/6/19,6/28/19,44,,,7/8/19,,,11,12,27,0.01,,,
StupidFalls,manip,south,Mertensia,14,F,open-hand,6/6/19,7/2/19,49,,,7/8/19,,,12,17,44,0.02,,,
StupidFalls,manip,south,Mertensia,15,J,open-hand,6/6/19,7/8/19,57,,,7/8/19,,,13,16,41,0.018,,,
StupidFalls,manip,south,Mertensia,9,E,open-hand,6/11/19,7/2/19,44,,,7/8/19,,,14.4,8,20,0.013,,,
StupidFalls,manip,south,Mertensia,11,A,open-hand,6/11/19,7/2/19,30,,,7/8/19,,,11.5,2,6,0.001,,,
StupidFalls,manip,south,Mertensia,13,M,open-hand,6/11/19,7/2/19,78,,,7/8/19,,,10.5,27,83,0.052,,,
StupidFalls,manip,south,Mertensia,14,K,open-hand,6/11/19,7/5/19,48,,,7/8/19,,,12.8,11,26,0.014,,,
StupidFalls,manip,south,Mertensia,16,B,open-hand,6/11/19,6/28/19,22,,,7/8/19,,,12.3,4,10,0.008,,,
StupidFalls,manip,south,Mertensia,1,M,open,6/6/19,7/5/19,65,,,7/8/19,,,10.5,24,52,0.017,,,
StupidFalls,manip,south,Mertensia,12,G,open,6/6/19,7/5/19,45,,,7/8/19,,,12,13,23,0.02,,,
StupidFalls,manip,south,Mertensia,13,H,open,6/6/19,7/5/19,85,,,7/8/19,,,14,32,69,0.029,,,
StupidFalls,manip,south,Mertensia,8,O,open,6/6/19,7/5/19,77,,,7/8/19,,,10,22,38,0.017,,,
StupidFalls,manip,south,Mertensia,10,O,open,6/11/19,7/5/19,35,,,7/8/19,,,15.5,6,3,0,,,
StupidFalls,manip,south,Mertensia,11,F,open,6/11/19,7/5/19,33,,,7/8/19,,,12,12,22,0.009,,,
StupidFalls,manip,south,Mertensia,13,B,open,6/11/19,6/28/19,39,,,7/8/19,,,10,6,9,0.001,,,
