site,plot.treat,plot.orient,species,quad,grid,treat,bloom.start,bloom.end,#flowers,ovule.exp1,date.oe1,date.harvest,total.fruits,#fruit.collected,trait,fl.count.sharp,dev.seed.sharp,undev.seed.sharp,weight.sharp,dev.seed.rest,undev.seed,weight.rest,
StupidFalls,manip,south,Potentilla,3,B,open,7/8/19,8/8/19,16,,,,,,,,,,,86,,0.028,
StupidFalls,manip,south,Potentilla,7,O,open,7/8/19,8/8/19,21,,,8/8/19,21,21,,,,,,165,,0.069,
StupidFalls,manip,south,Potentilla,9,N,open,7/8/19,8/8/19,15,,,,,,,,,,,163,,0.094,
StupidFalls,manip,south,Potentilla,13,H,open,7/8/19,8/8/19,7,,,8/8/19,7,7,,,,,,98,,0.044,
StupidFalls,manip,south,Potentilla,16,F,open,7/8/19,8/8/19,8,,,8/8/19,8,8,,,,,,77,,0.025,
StupidFalls,manip,south,Potentilla,26,H,open,7/8/19,8/8/19,27,,,8/8/19,27,27,,,,,,393,,0.114,
StupidFalls,manip,south,Potentilla,28,E,open,7/8/19,8/8/19,38,,,8/8/19,38,38,,,,,,282,,0.099,
StupidFalls,manip,south,Potentilla,30,C,open,7/8/19,8/8/19,8,,,8/8/19,8,8,,,,,,83,,0.031,
StupidFalls,manip,south,Potentilla,3,C,open-hand,7/8/19,8/8/19,20,,,8/8/19,20,20,,,,,,150,,0.086,
StupidFalls,manip,south,Potentilla,7,M,open-hand,7/8/19,8/8/19,24,,,8/8/19,24,24,,,,,,263,,0.105,
StupidFalls,manip,south,Potentilla,9,A,open-hand,7/8/19,8/8/19,7,,,8/8/19,7,7,,,,,,112,,0.045,
StupidFalls,manip,south,Potentilla,13,I,open-hand,7/8/19,8/8/19,25,,,8/8/19,25,25,,,,,,362,,0.101,
StupidFalls,manip,south,Potentilla,16,N,open-hand,7/8/19,8/8/19,19,,,,,,,,,,,117,,0.046,
StupidFalls,manip,south,Potentilla,26,M,open-hand,7/8/19,8/8/19,28,,,,,,,,,,,346,,0.125,
StupidFalls,manip,south,Potentilla,28,F,open-hand,7/8/19,8/8/19,15,,,8/8/19,15,15,,,,,,271,,0.095,
StupidFalls,manip,south,Potentilla,30,D,open-hand,7/8/19,8/8/19,16,,,8/8/19,16,16,,,,,,242,,0.074,
StupidFalls,control,north,Potentilla,5,M,open-hand,7/12/19,,25,,,,,,,,,,,55,,0.017,
StupidFalls,control,north,Potentilla,21,F,open-hand,7/12/19,8/8/19,22,,,,,,,,,,,257,,0.074,
StupidFalls,control,north,Potentilla,23,J,open-hand,7/12/19,,18,,,,,,,,,,,203,,0.098,
StupidFalls,control,north,Potentilla,25,M,open-hand,7/12/19,8/8/19,13,,,8/8/19,13,13,,,,,,115,,0.044,
StupidFalls,control,north,Potentilla,30,K,open-hand,7/12/19,8/8/19,13,,,8/8/19,13,13,,,,,,147,,0.052,
StupidFalls,control,north,Potentilla,5,I,open-hand,7/12/19,,26,,,,,,,,,,,200,,0.072,
StupidFalls,control,north,Potentilla,10,D,open-hand,7/12/19,,59,,,,,,,,,,,193,,0.094,
StupidFalls,control,north,Potentilla,23,I,open-hand,7/12/19,,,,,,,,,,,,,94,,0.022,
StupidFalls,control,north,Potentilla,5,L,open,7/12/19,,24,,,,,,,,,,,332,,0.123,
StupidFalls,control,north,Potentilla,14,G,open,7/12/19,,25,,,,,,,,,,,211,,0.058,
StupidFalls,control,north,Potentilla,23,M,open,7/12/19,8/8/19,37,,,,,,,,,,,88,,0.037,
StupidFalls,control,north,Potentilla,24,L,open,7/12/19,8/8/19,12,,,8/8/19,12,12,,,,,,80,,0.03,
StupidFalls,control,north,Potentilla,25,N,open,7/12/19,,23,,,,,,,,,,,147,,0.049,
StupidFalls,control,north,Potentilla,30,O,open,7/12/19,8/8/19,13,,,,,,,,,,,63,,0.026,
StupidFalls,control,north,Potentilla,5,D,open,7/12/19,,58,,,,,,,,,,,396,,0.154,
StupidFalls,control,north,Potentilla,23,N,open,7/12/19,,26,,,,,,,,,,,115,,0.076,
Pfieler,manip,north,Potentilla,24,N,open,7/9/19,,,,8/6/19,,,,,,,,,717,,0.184,
Pfieler,manip,north,Potentilla,19,P,open,7/9/19,8/6/19,,,8/6/19,,,,,,,,,263,,0.102,
Pfieler,manip,north,Potentilla,18,A,open,7/9/19,8/6/19,,,8/6/19,,,,,,,,,405,,0.16,
Pfieler,manip,north,Potentilla,18,P,open,7/9/19,8/6/19,,,8/6/19,,,,,,,,,312,,0.143,
Pfieler,manip,north,Potentilla,16,E,open,7/9/19,8/6/19,,,8/6/19,,,,,,,,,455,,0.172,
Pfieler,manip,north,Potentilla,11,M,open,7/9/19,,,,8/6/19,,,,,,,,,634,,0.233,
Pfieler,manip,north,Potentilla,7,M,open,7/9/19,8/6/19,,,8/6/19,,,,,,,,,266,,0.088,
Pfieler,manip,north,Potentilla,4,J,open,7/9/19,8/6/19,,,8/6/19,,,,,,,,,99,,0.041,
Pfieler,manip,north,Potentilla,25,N,open-hand,7/11/19,8/6/19,,,8/6/19,,,,,,,,,197,,0.055,
Pfieler,manip,north,Potentilla,24,G,open-hand,7/11/19,8/6/19,,,8/6/19,,,,,,,,,352,,0.132,
Pfieler,manip,north,Potentilla,18,C,open-hand,7/11/19,8/6/19,,,8/6/19,,,,,,,,,271,,0.093,
Pfieler,manip,north,Potentilla,17,C,open-hand,7/11/19,8/6/19,,,8/6/19,,,,,,,,,233,,0.086,
Pfieler,manip,north,Potentilla,16,I,open-hand,7/11/19,8/6/19,,,8/6/19,,,,,,,,,426,,0.165,
Pfieler,manip,north,Potentilla,11,B,open-hand,7/11/19,,,,8/6/19,,,,,5,42,,0.009,446,,0.141,
Pfieler,manip,north,Potentilla,8,H,open-hand,7/11/19,8/6/19,,,8/6/19,,,,,3,13,,0,484,,0.161,
Pfieler,manip,north,Potentilla,3,E,open-hand,7/11/19,8/6/19,,,8/6/19,,,,,1,12,,0,264,,0.088,
Pfieler,control,south,Potentilla,28,O,open,7/18/19,,,,8/6/19,,,,,,,,,175,85,0.045,
Pfieler,control,south,Potentilla,27,M,open,7/22/19,,,,8/6/19,,,,,,,,,227,234,0.053,
Pfieler,control,south,Potentilla,25,K,open,7/29/19,,,,8/6/19,,,,,,,,,84,,0.017,
Pfieler,control,south,Potentilla,24,P,open,7/22/19,,,,8/6/19,,,,,,,,,192,98,0.055,
Pfieler,control,south,Potentilla,14,F,open,7/15/19,,,,,,,,,,,,,88,,0.028,
Pfieler,control,south,Potentilla,6,F,open,7/15/19,,,,8/6/19,,,,,,,,,51,,0.013,
Pfieler,control,south,Potentilla,2,B,open,7/29/19,,,,8/6/19,,,,,,,,,75,,0.02,
Pfieler,control,south,Potentilla,30,M,open,7/18/19,,,,8/6/19,,,,,,,,,154,,0.041,30B?
Pfieler,control,south,Potentilla,28,C,open-hand,7/18/19,,,,8/6/19,,,,,2,29,9,0.007,31,,0.009,
Pfieler,control,south,Potentilla,27,O,open-hand,7/22/19,8/6/19,,,8/6/19,,,,,1,28,23,0.008,38,102,0.012,
Pfieler,control,south,Potentilla,25,M,open-hand,7/29/19,,,,8/6/19,,,,,3,41,,0.009,117,,0.051,
Pfieler,control,south,Potentilla,24,P,open-hand,7/22/19,,,,8/6/19,,,,,6,84,,0.014,68,,0.024,24J?
Pfieler,control,south,Potentilla,14,E,open-hand,7/29/19,,,,8/6/19,,,,,,,,,50,,0.011,
Pfieler,control,south,Potentilla,5,C,open-hand,7/18/19,,,,8/6/19,,,,,2,21,,0.006,188,,0.049,
Pfieler,control,south,Potentilla,2,D,open-hand,7/29/19,8/6/19,,,8/6/19,,,,,1,45,,0.012,99,,0.023,
Pfieler,control,south,Potentilla,30,M,open-hand,7/18/19,,,,8/6/19,,,,,1,14,43,0,258,107,0.061,
RustlersGulch,manip,north,Potentilla,30,J,open-hand,7/24/19,,19,,,,,,,1,21,,0.006,65,,0.013,
