"","site","plot.treat","quad","effect.start","effect.middle","effect.end","mean","rate","effect.min","end","range"
"1","403Bench","control",1,12.7,12.9,6.8,10.8,-1.96666666666667,6.8,9.8,5.9
"2","403Bench","control",6,8.2,6,6.7,6.96666666666667,-0.5,6.7,9.9,1.5
"3","403Bench","control",12,9.5,11,6.3,8.93333333333333,-1.06666666666667,6.3,10.8,3.2
"4","403Bench","control",15,10.1,7.9,4.8,7.6,-1.76666666666667,4.8,8.7,5.3
"5","403Bench","control",18,9.4,11.7,6.3,9.13333333333333,-1.03333333333333,6.3,13.4,3.1
"6","403Bench","control",24,10.3,8.9,6.2,8.46666666666667,-1.36666666666667,6.2,12.5,4.1
"7","403Bench","control",30,12,11.4,6.6,10,-1.8,6.6,8.1,5.4
"8","403Bench","manip",1,18.9,11.7,11.9,14.1666666666667,-2.33333333333333,5.7,10.8,13.2
"9","403Bench","manip",6,13,8.3,6.9,9.4,-2.03333333333333,5.6,9.5,7.4
"10","403Bench","manip",12,16.5,7.8,8.2,10.8333333333333,-2.76666666666667,7.5,12.7,9
"11","403Bench","manip",15,19.3,10.2,9.8,13.1,-3.16666666666667,6.3,12.3,13
"12","403Bench","manip",18,20.2,10.4,7.9,12.8333333333333,-4.1,7.7,8.7,12.5
"13","403Bench","manip",24,12.1,8.2,3.9,8.06666666666666,-2.73333333333333,3.2,10.4,8.9
"14","403Bench","manip",30,13.5,7.6,6.1,9.06666666666667,-2.46666666666667,4.4,11.2,9.1
"15","AveryPicnic","control",1,13,11.3,8.6,10.9666666666667,-1.46666666666667,1.7,11.1,11.3
"16","AveryPicnic","control",6,14.1,15.4,6.6,12.0333333333333,-2.5,13,18.3,1.1
"17","AveryPicnic","control",12,13.8,9,10.5,11.1,-1.1,10.8,11.7,3
"18","AveryPicnic","control",15,13.7,11.4,9.4,11.5,-1.43333333333333,10.1,12.6,3.6
"19","AveryPicnic","control",18,14.3,8.5,11.1,11.3,-1.06666666666667,10.3,8.5,4
"20","AveryPicnic","control",24,14.5,8.7,9.1,10.7666666666667,-1.8,10,9.8,4.5
"21","AveryPicnic","control",30,13.8,8.7,8.4,10.3,-1.8,7.3,13.2,6.5
