date,site,plot,transect,segment,plant,total_flowers,notes
6/9/17,Meridian,Manipulated,M1,1,Claytonia lanceolata,5,
6/9/17,Meridian,Manipulated,M1,2,Claytonia lanceolata,6,
6/9/17,Meridian,Manipulated,M1,3,Claytonia lanceolata,6,
6/9/17,Meridian,Manipulated,M1,4,Claytonia lanceolata,8,
6/9/17,Meridian,Manipulated,M1,5,Claytonia lanceolata,12,
6/9/17,Meridian,Manipulated,M2,1,Claytonia lanceolata,16,
6/9/17,Meridian,Manipulated,M2,1,Erythronium grandiflorum,14,
6/9/17,Meridian,Manipulated,M2,2,Claytonia lanceolata,12,
6/9/17,Meridian,Manipulated,M2,3,Claytonia lanceolata,2,
6/9/17,Meridian,Manipulated,M2,4,Claytonia lanceolata,11,
6/9/17,Meridian,Manipulated,M2,5,Claytonia lanceolata,2,
6/9/17,Meridian,Manipulated,M3,1,Claytonia lanceolata,5,
6/9/17,Meridian,Manipulated,M3,2,Claytonia lanceolata,10,
6/9/17,Meridian,Manipulated,M3,2,Ranunculus inamoenus,2,
6/9/17,Meridian,Manipulated,M3,3,Claytonia lanceolata,9,
6/9/17,Meridian,Manipulated,M3,4,Claytonia lanceolata,7,
6/9/17,Meridian,Manipulated,M3,5,Mertensia fusiformis,9,
6/9/17,Meridian,Control,C1,1,None,0,
6/9/17,Meridian,Control,C1,2,Claytonia lanceolata,2,
6/9/17,Meridian,Control,C1,3,Claytonia lanceolata,8,
6/9/17,Meridian,Control,C1,3,Ranunculus inamoenus,1,
6/9/17,Meridian,Control,C1,4,Claytonia lanceolata,6,
6/9/17,Meridian,Control,C1,4,Ranunculus inamoenus,5,
6/9/17,Meridian,Control,C1,5,None,0,
6/9/17,Meridian,Control,C2,1,None,0,
6/9/17,Meridian,Control,C2,2,Claytonia lanceolata,8,
6/9/17,Meridian,Control,C2,3,None,0,
6/9/17,Meridian,Control,C2,4,None,0,
6/9/17,Meridian,Control,C2,5,None,0,
6/9/17,Meridian,Control,C3,1,Claytonia lanceolata,8,
6/9/17,Meridian,Control,C3,2,Claytonia lanceolata,50,
6/9/17,Meridian,Control,C3,2,Mertensia fusiformis,1,
6/9/17,Meridian,Control,C3,2,Ranunculus inamoenus,1,
6/9/17,Meridian,Control,C3,3,Claytonia lanceolata,18,
6/9/17,Meridian,Control,C3,4,Claytonia lanceolata,4,
6/9/17,Meridian,Control,C3,5,Mertensia fusiformis,8,
6/10/17,Avery Picnic,Manipulated,M1,1,Delphinium nuttallianum,3,
6/10/17,Avery Picnic,Manipulated,M1,1,Taraxacum officinale,2,
6/10/17,Avery Picnic,Manipulated,M1,1,Mertensia fusiformis,9,
6/10/17,Avery Picnic,Manipulated,M1,2,Delphinium nuttallianum,4,
6/10/17,Avery Picnic,Manipulated,M1,2,Taraxacum officinale,2,
6/10/17,Avery Picnic,Manipulated,M1,2,Androsace septentrionalis,16,
6/10/17,Avery Picnic,Manipulated,M1,3,Androsace septentrionalis,20,
6/10/17,Avery Picnic,Manipulated,M1,3,Viola praemorsa,3,
6/10/17,Avery Picnic,Manipulated,M1,3,Delphinium nuttallianum,1,
6/10/17,Avery Picnic,Manipulated,M1,3,Mertensia fusiformis,18,
6/10/17,Avery Picnic,Manipulated,M1,4,Androsace septentrionalis,2,
6/10/17,Avery Picnic,Manipulated,M1,4,Viola praemorsa,1,
6/10/17,Avery Picnic,Manipulated,M1,5,Viola praemorsa,4,
6/10/17,Avery Picnic,Manipulated,M1,5,Ranunculus inamoenus,1,
6/10/17,Avery Picnic,Manipulated,M1,5,Androsace septentrionalis,16,
6/10/17,Avery Picnic,Manipulated,M1,5,Delphinium nuttallianum,6,
6/10/17,Avery Picnic,Manipulated,M2,1,Mertensia fusiformis,2,
6/10/17,Avery Picnic,Manipulated,M2,1,Taraxacum officinale,3,
